FID,survey_id,country,area,ecoregion,realm,location,site_code,site_name,latitude,longitude,survey_date,depth,program,visibility,hour,survey_latitude,survey_longitude,method,block,phylum,class,order,family,species_name,reporting_name,size_class,total,biomass,geom
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63ea,912345835,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,GC14,Carpentaria Shoal,-10.74,141.06,23/11/2015,17.5,RLS,7,11:00:00,,,2,2,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Diadema setosum,Diadema setosum,0,19,,POINT (141.05999755859375 -10.739999771118164)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63eb,912345835,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,GC14,Carpentaria Shoal,-10.74,141.06,23/11/2015,17.5,RLS,7,11:00:00,,,2,2,Echinodermata,Holothuroidea,Aspidochirotida,Holothuriidae,Holothuria atra,Holothuria atra,0,1,,POINT (141.05999755859375 -10.739999771118164)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63ec,912354268,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,GC14,Carpentaria Shoal,-10.74,141.06,1/11/2020,17,RLS,6,14:00:00,,,2,1,Arthropoda,Malacostraca,Decapoda,Diogenidae,Dardanus deformis,Dardanus deformis,0,1,,POINT (141.05999755859375 -10.739999771118164)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63ed,912354268,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,GC14,Carpentaria Shoal,-10.74,141.06,1/11/2020,17,RLS,6,14:00:00,,,2,1,Arthropoda,Malacostraca,Decapoda,,Paguroidea spp.,Decapoda spp.,0,1,,POINT (141.05999755859375 -10.739999771118164)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63ee,912354268,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,GC14,Carpentaria Shoal,-10.74,141.06,1/11/2020,17,RLS,6,14:00:00,,,2,1,Echinodermata,Crinoidea,Comatulida,Colobometridae,Oligometra carpenteri (cf),Oligometra carpenteri,0,1,,POINT (141.05999755859375 -10.739999771118164)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63ef,912354268,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,GC14,Carpentaria Shoal,-10.74,141.06,1/11/2020,17,RLS,6,14:00:00,,,2,1,Echinodermata,Crinoidea,Comatulida,Comasteridae,Comanthus spp.,Comanthus spp.,0,2,,POINT (141.05999755859375 -10.739999771118164)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63f0,912354268,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,GC14,Carpentaria Shoal,-10.74,141.06,1/11/2020,17,RLS,6,14:00:00,,,2,1,Mollusca,Gastropoda,Nudibranchia,Chromodorididae,Mexichromis festiva (cf),Mexichromis festiva,0,1,,POINT (141.05999755859375 -10.739999771118164)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63f1,912354268,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,GC14,Carpentaria Shoal,-10.74,141.06,1/11/2020,17,RLS,6,14:00:00,,,2,1,Mollusca,Gastropoda,Sorbeoconcha,Cerithiidae,Cerithium novaehollandiae,Cerithium novaehollandiae,0,4,,POINT (141.05999755859375 -10.739999771118164)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63f2,912354268,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,GC14,Carpentaria Shoal,-10.74,141.06,1/11/2020,17,RLS,6,14:00:00,,,2,2,Arthropoda,Malacostraca,Decapoda,,Paguroidea spp.,Decapoda spp.,0,1,,POINT (141.05999755859375 -10.739999771118164)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63f3,912354268,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,GC14,Carpentaria Shoal,-10.74,141.06,1/11/2020,17,RLS,6,14:00:00,,,2,2,Echinodermata,Crinoidea,Comatulida,Colobometridae,Oligometra carpenteri (cf),Oligometra carpenteri,0,3,,POINT (141.05999755859375 -10.739999771118164)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63f4,912354268,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,GC14,Carpentaria Shoal,-10.74,141.06,1/11/2020,17,RLS,6,14:00:00,,,2,2,Mollusca,Gastropoda,Sorbeoconcha,Cerithiidae,Cerithium novaehollandiae,Cerithium novaehollandiae,0,2,,POINT (141.05999755859375 -10.739999771118164)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63f5,912354269,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,GC14,Carpentaria Shoal,-10.74,141.06,1/11/2020,16.5,RLS,6,14:00:00,,,2,1,Echinodermata,Crinoidea,Comatulida,Comasteridae,Comanthus spp.,Comanthus spp.,0,1,,POINT (141.05999755859375 -10.739999771118164)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63f6,912354269,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,GC14,Carpentaria Shoal,-10.74,141.06,1/11/2020,16.5,RLS,6,14:00:00,,,2,1,Echinodermata,Echinoidea,Diadematoida,Diadematidae,Diadema setosum,Diadema setosum,0,5,,POINT (141.05999755859375 -10.739999771118164)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63f7,912354269,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,GC14,Carpentaria Shoal,-10.74,141.06,1/11/2020,16.5,RLS,6,14:00:00,,,2,1,Platyhelminthes,Turbellaria,Polycladida,Pseudocerotidae,Pseudoceros ferrugineus,Pseudoceros ferrugineus,0,1,,POINT (141.05999755859375 -10.739999771118164)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63f8,923400436,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,GC14,Carpentaria Shoal,-10.74,141.06,9/11/2021,17,RLS,5,11:00:00,,,2,1,Echinodermata,Crinoidea,Comatulida,Colobometridae,Colobometra perspinosa,Colobometra perspinosa,10,1,,POINT (141.05999755859375 -10.739999771118164)
ep_m2_inverts_public_data.fid--462e4c35_196c790a772_63f9,923400447,Australia,Queensland,Torres Strait Northern Great Barrier Reef,Central Indo-Pacific,West Cape York,GC18,Carpentaria Shoal West,-10.74,141.05,9/11/2021,17.5,RLS,5,10:00:00,,,2,1,Mollusca,Gastropoda,Nudibranchia,Phyllidiidae,Phyllidiella pustulosa,Phyllidiella pustulosa,5,1,,POINT (141.0500030517578 -10.739999771118164)
