site_code,reef_name,lat,long,zone,region,sector,situation,depth_morph,geomorph,Harris_site,report_site
NWS184,Ashmore East Lagoon Entrance,-12.18,123.07,Open,WA,,,,,No,No
NWS189,Cartier Garden,-12.53,123.57,Open,WA,,,,,No,No
NWS201,Lesueur Island South,-13.82,127.27,Open,WA,,,,,No,No
NWS194,Browse Ledge,-14.1,123.55,Open,WA,,,,,No,No
NWS193,Cartier Island,-12.52,123.56,Open,WA,,,,,No,No
NWS188,Cartier Platform,-12.53,123.58,Open,WA,,,,,No,No
NWS192,Cartier Anchorage,-12.53,123.58,Open,WA,,,,,No,No
NWS199,Cassini Point,-13.94,125.64,Open,WA,,,,,No,No
NWS198,Jameson Reef Anchorage,-14.06,125.36,Open,WA,,,,,No,No
NWS195,Browse Fats,-14.11,123.56,Open,WA,,,,,No,No
NWS200,Cassini anchorage,-13.94,125.64,Open,WA,,,,,No,No
NWS166,Brue Reef,-15.92,123.04,Open,WA,,,,,No,No
NWS167,Frost Shoal,-15.78,123.36,Open,WA,,,,,No,No
NWS168,Churchill Reef South East,-15.52,123.23,Open,WA,,,,,No,No
NWS175,North Reef bommies,-13.92,121.91,Open,WA,,,,,No,No
NWS180,Grubfish Reef,-12.21,123.05,Open,WA,,,,,No,No
NWS182,Ashmore Outer North,-12.17,123.06,Open,WA,,,,,No,No
NWS183,Ashmore Inner North,-12.18,123.07,Open,WA,,,,,No,No
NWS173,Shawrie's Folly,-14.13,121.97,Open,WA,,,,,No,No
NWS186,Cartier North,-12.53,123.58,Open,WA,,,,,No,No
NWS170,Churchill Reef North West,-15.45,123.24,Open,WA,,,,,No,No
NWS176,Shackle Reef,-13.62,122.01,Open,WA,,,,,No,No
NWS187,Cartier Reef Slope,-12.53,123.58,Open,WA,,,,,No,No
NWS190,Nuclear Bommie,-12.52,123.57,Open,WA,,,,,No,No
NWS191,Unexploded Bommie,-12.52,123.56,Open,WA,,,,,No,No
NWS196,Browse Anchorage,-14.1,123.55,Open,WA,,,,,No,No
NWS197,Groper Reef,-14.06,125.36,Open,WA,,,,,No,No
NWS179,Not Much Reef,-12.21,123.04,Open,WA,,,,,No,No
NT26,New Year Island East,-10.9,133.03,Open,GOC,,,,,No,No
OS16,Parry Shoal,-11.22,129.66,Open,WA,,,,,No,No
NWS202,Ashmore North,-12.2,123.03,Open,WA,,,,,No,No
OS12,Kitan Shoal East,-10.7,126.34,Open,WA,,,,,No,No
OS14,NW Jabiru Shoal,-11.72,125.02,Open,WA,,,,,No,No
OS10,Cootamundra Shoal,-10.84,129.22,Open,WA,,,,,No,No
OS13,Mangola Shoal,-11.66,125.11,Open,WA,,,,,No,No
OS11,Kitan Shoal West,-10.7,126.33,Open,WA,,,,,No,No
OS15,Blue Coral Shoal,-11.73,123.99,Open,WA,,,,,No,No
OS9,South Evans Shoal,-10.13,129.54,Open,WA,,,,,No,No
NWS203,Whatever Reef,-12.54,123.57,Open,WA,,,,,No,No
NWS204,Annas Delight,-12.54,123.54,Open,WA,,,,,No,No
NWS206,Ashmore Shoal North,-12.22,122.96,Open,WA,,,,,No,No
NWS205,Marlin Shoal Flats,-12.19,123,Open,WA,,,,,No,No
OS17,Halimeda Shoal,-11.51,125.28,Open,WA,,,,,No,No
GBR200,Fitzroy Island,-16.93,145.99,Open,GBR,,,,,No,No
GBR213,Hastings Reef,-16.53,145.99,Open,GBR,,,,,No,No
GBR216,Norman Reef Pontoon,-16.43,145.99,Open,GBR,,,,,No,No
GBR210,Michaelmis Cay,-16.6,145.97,Open,GBR,,,,,No,No
GBR204,Petaj Bommie Milln Reef,-16.79,146.27,Open,GBR,,,,,No,No
GBR201,Moore Reef,-16.89,146.19,Open,GBR,,,,,No,No
GBR206,Whale Bommie Milln Reef,-16.78,146.27,Open,GBR,,,,,No,No
GBR209,Traceys Bommie Flynn Reef,-16.73,146.27,Open,GBR,,,,,No,No
GBR192,Russell Island,-17.23,146.09,Open,GBR,,,,,No,No
GBR195,Normandy Island,-17.2,146.08,Open,GBR,,,,,No,No
GBR193,Russell Island Outside,-17.23,146.1,Open,GBR,,,,,No,No
GBR194,Round Island,-17.22,146.09,Open,GBR,,,,,No,No
GBR207,Tennis Court Flynn Reef,-16.73,146.27,Open,GBR,,,,,No,No
GBR205,Swimming Pool Milln Reef,-16.79,146.27,Open,GBR,,,,,No,No
GBR208,Gordons Mooring Flynn Reef,-16.73,146.27,Open,GBR,,,,,No,No
GBR217,Agincourt Reef - The Gap,-15.98,145.83,Open,GBR,,,,,No,No
GBR219,Agincourt Reef - Three Sisters,-15.96,145.8,Open,GBR,,,,,No,No
GBR218,Agincourt Reef - The Point,-15.97,145.82,Open,GBR,,,,,No,No
GBR188,Dunk Is NE,-17.94,146.16,Open,GBR,,,,,No,No
GBR228,Watsons Bay north,-14.66,145.45,Open,GBR,,,,,No,No
