year,site_code,survey_date,depth,block,list,transect_1,transect_2,reef_name,lat,long,zone,region,situation,depth_morph,geomorph,Harris_site,report_site,depth_m
2015,NT44,2015-11-03,1.8,1,Reef_fish,2,3,East Bremer Islet bay,-12.09,136.87,Open,Northwest,Nearshore,Emergent,Fringing,No,Yes,1.8
2015,NT44,2015-11-03,1.8,2,Reef_fish,2,4,East Bremer Islet bay,-12.09,136.87,Open,Northwest,Nearshore,Emergent,Fringing,No,Yes,1.8
2015,NT45,2015-11-04,2,1,Reef_fish,1,1,Porlsche Rock,-12.07,136.87,Open,Northwest,Offshore,Submerged,Pinnacle,No,Yes,2
2015,NT45,2015-11-04,2,2,Reef_fish,1,2,Porlsche Rock,-12.07,136.87,Open,Northwest,Offshore,Submerged,Pinnacle,No,Yes,2
2015,NT45,2015-11-04,4,1,Reef_fish,2,3,Porlsche Rock,-12.07,136.87,Open,Northwest,Offshore,Submerged,Pinnacle,No,Yes,4
2015,NT45,2015-11-04,4,2,Reef_fish,2,4,Porlsche Rock,-12.07,136.87,Open,Northwest,Offshore,Submerged,Pinnacle,No,Yes,4
2015,NT46,2015-11-04,3,1,Reef_fish,2,1,East Bremer Islet SW,-12.09,136.87,Open,Northwest,Nearshore,Emergent,Fringing,No,Yes,3
2015,NT46,2015-11-04,3,2,Reef_fish,2,2,East Bremer Islet SW,-12.09,136.87,Open,Northwest,Nearshore,Emergent,Fringing,No,Yes,3
2015,NT46,2015-11-04,2,1,Reef_fish,1,3,East Bremer Islet SW,-12.09,136.87,Open,Northwest,Nearshore,Emergent,Fringing,No,Yes,2
2015,NT46,2015-11-04,2,2,Reef_fish,1,4,East Bremer Islet SW,-12.09,136.87,Open,Northwest,Nearshore,Emergent,Fringing,No,Yes,2
2015,NT48,2015-11-04,6,1,Reef_fish,1,1,Bremer Island East,-12.09,136.83,Open,Northwest,Nearshore,Emergent,Fringing,No,Yes,6
2015,NT47,2015-11-04,4,1,Reef_fish,1,1,Bremer Islet anchorage,-12.087,136.865,Open,Northwest,Nearshore,Emergent,Fringing,No,No,4
2015,NT47,2015-11-04,4,2,Reef_fish,1,2,Bremer Islet anchorage,-12.087,136.865,Open,Northwest,Nearshore,Emergent,Fringing,No,No,4
2015,NT53,2015-11-07,5.5,1,Reef_fish,2,1,Dudley Island,-12.881,136.726,Open,Western,Nearshore,Emergent,Fringing,No,No,5.5
2015,NT53,2015-11-07,5.5,2,Reef_fish,2,2,Dudley Island,-12.881,136.726,Open,Western,Nearshore,Emergent,Fringing,No,No,5.5
2015,NT53,2015-11-07,5,1,Reef_fish,1,3,Dudley Island,-12.881,136.726,Open,Western,Nearshore,Emergent,Fringing,No,No,5
2015,NT53,2015-11-07,5,2,Reef_fish,1,4,Dudley Island,-12.881,136.726,Open,Western,Nearshore,Emergent,Fringing,No,No,5
2015,NT54,2015-11-07,5,1,Reef_fish,2,1,Dudley Rock,-12.884,136.712,Open,Western,Offshore,Emergent,Shoal,No,No,5
2015,NT54,2015-11-07,5,2,Reef_fish,2,2,Dudley Rock,-12.884,136.712,Open,Western,Offshore,Emergent,Shoal,No,No,5
2015,NT54,2015-11-07,4,1,Reef_fish,1,3,Dudley Rock,-12.884,136.712,Open,Western,Offshore,Emergent,Shoal,No,No,4
2015,NT54,2015-11-07,4,2,Reef_fish,1,4,Dudley Rock,-12.884,136.712,Open,Western,Offshore,Emergent,Shoal,No,No,4
2015,NT55,2015-11-08,8,1,Reef_fish,1,1,Brady Rock,-13.68,136.45,Open,Western,Nearshore,Emergent,Shoal,No,Yes,8
2015,NT55,2015-11-08,8,2,Reef_fish,1,2,Brady Rock,-13.68,136.45,Open,Western,Nearshore,Emergent,Shoal,No,Yes,8
2015,NT55,2015-11-08,10,1,Reef_fish,2,3,Brady Rock,-13.68,136.45,Open,Western,Nearshore,Emergent,Shoal,No,Yes,10
2015,NT55,2015-11-08,10,2,Reef_fish,2,4,Brady Rock,-13.68,136.45,Open,Western,Nearshore,Emergent,Shoal,No,Yes,10
2015,NT56,2015-11-11,4.5,1,Reef_fish,1,1,Cape Beatrice SW,-14.31,136.89,Open,Western,Nearshore,Emergent,Fringing,No,Yes,4.5
2015,NT56,2015-11-11,4.5,2,Reef_fish,1,2,Cape Beatrice SW,-14.31,136.89,Open,Western,Nearshore,Emergent,Fringing,No,Yes,4.5
2015,NT56,2015-11-11,4.6,1,Reef_fish,2,3,Cape Beatrice SW,-14.31,136.89,Open,Western,Nearshore,Emergent,Fringing,No,Yes,4.6
2015,NT56,2015-11-11,4.6,2,Reef_fish,2,4,Cape Beatrice SW,-14.31,136.89,Open,Western,Nearshore,Emergent,Fringing,No,Yes,4.6
2015,NT57,2015-11-11,3,1,Reef_fish,1,1,Cape Beatrice South,-14.309,136.889,Open,Western,Nearshore,Emergent,Fringing,No,No,3
2015,NT48,2015-11-04,6,2,Reef_fish,1,2,Bremer Island East,-12.09,136.83,Open,Northwest,Nearshore,Emergent,Fringing,No,Yes,6
2015,NT48,2015-11-04,7,1,Reef_fish,2,3,Bremer Island East,-12.09,136.83,Open,Northwest,Nearshore,Emergent,Fringing,No,Yes,7
2015,NT48,2015-11-04,7,2,Reef_fish,2,4,Bremer Island East,-12.09,136.83,Open,Northwest,Nearshore,Emergent,Fringing,No,Yes,7
2015,NT49,2015-11-05,10,1,Reef_fish,2,1,Bonner Rocks NE,-12.06,136.61,Open,Northwest,Nearshore,Emergent,Shoal,No,Yes,10
2015,NT49,2015-11-05,10,2,Reef_fish,2,2,Bonner Rocks NE,-12.06,136.61,Open,Northwest,Nearshore,Emergent,Shoal,No,Yes,10
2015,NT57,2015-11-11,3,2,Reef_fish,1,2,Cape Beatrice South,-14.309,136.889,Open,Western,Nearshore,Emergent,Fringing,No,No,3
2015,NT57,2015-11-11,6,1,Reef_fish,2,3,Cape Beatrice South,-14.309,136.889,Open,Western,Nearshore,Emergent,Fringing,No,No,6
2015,NT57,2015-11-11,6,2,Reef_fish,2,4,Cape Beatrice South,-14.309,136.889,Open,Western,Nearshore,Emergent,Fringing,No,No,6
2015,NT58,2015-11-11,3.5,1,Reef_fish,1,1,Turtle Cave,-14.355,136.95,Open,Western,Nearshore,Emergent,Fringing,No,No,3.5
2015,NT58,2015-11-11,3.5,2,Reef_fish,1,2,Turtle Cave,-14.355,136.95,Open,Western,Nearshore,Emergent,Fringing,No,No,3.5
2015,NT58,2015-11-11,3.6,1,Reef_fish,2,3,Turtle Cave,-14.355,136.95,Open,Western,Nearshore,Emergent,Fringing,No,No,3.6
2015,NT58,2015-11-11,3.6,2,Reef_fish,2,4,Turtle Cave,-14.355,136.95,Open,Western,Nearshore,Emergent,Fringing,No,No,3.6
2015,NT59,2015-11-11,7,1,Reef_fish,2,1,Cape Beatrice Islet West,-14.35,136.94,Open,Western,Nearshore,Emergent,Fringing,No,Yes,7
2015,NT59,2015-11-11,7,2,Reef_fish,2,2,Cape Beatrice Islet West,-14.35,136.94,Open,Western,Nearshore,Emergent,Fringing,No,Yes,7
2015,NT59,2015-11-11,3,1,Reef_fish,1,3,Cape Beatrice Islet West,-14.35,136.94,Open,Western,Nearshore,Emergent,Fringing,No,Yes,3
